Smartphone,RAM,Storage,Free,Final Price,PriceCategory
852,8.0,256.0,1,231.6,رخيص
1084,4.0,128.0,1,279.0,رخيص
534,4.0,128.0,1,179.01,رخيص
1717,8.0,128.0,1,279.99,رخيص
582,8.0,512.0,1,799.0,متوسط
532,4.0,64.0,1,148.52,رخيص
580,8.0,256.0,1,699.0,متوسط
812,8.0,128.0,1,352.59,رخيص
1086,4.0,128.0,1,279.0,رخيص
1752,8.0,256.0,1,329.99,رخيص
727,8.0,128.0,1,219.99,رخيص
838,4.0,64.0,1,172.59,رخيص
851,8.0,256.0,1,231.6,رخيص
1746,8.0,256.0,1,382.99,رخيص
1744,8.0,256.0,1,399.91,رخيص
1722,4.0,128.0,1,249.99,رخيص
166,8.0,128.0,1,1009.0,غالي
1750,8.0,256.0,1,249.26,رخيص
1082,4.0,64.0,1,179.0,رخيص
1593,4.0,64.0,1,179.99,رخيص
879,8.0,32.0,1,141.6,رخيص
784,8.0,256.0,1,401.6,رخيص
773,8.0,256.0,1,392.6,رخيص
1685,4.0,128.0,1,219.99,رخيص
848,8.0,128.0,1,181.6,رخيص
212,8.0,256.0,1,1599.0,غالي
527,2.0,32.0,1,106.0,رخيص
780,8.0,128.0,1,281.6,رخيص
1094,8.0,128.0,1,419.0,رخيص
779,8.0,128.0,1,281.6,رخيص
849,8.0,128.0,1,181.6,رخيص
209,8.0,128.0,1,1469.0,غالي
786,8.0,512.0,1,521.6,متوسط
781,8.0,256.0,1,301.6,رخيص
771,8.0,256.0,1,391.99,رخيص
782,8.0,256.0,1,299.0,رخيص
726,8.0,128.0,1,219.99,رخيص
1724,4.0,128.0,1,168.9,رخيص
1089,8.0,128.0,1,299.0,رخيص
210,8.0,128.0,1,1469.0,غالي
839,4.0,64.0,1,172.59,رخيص
1720,4.0,128.0,1,249.99,رخيص
1588,4.0,128.0,1,199.0,رخيص
785,8.0,512.0,1,521.6,متوسط
802,4.0,64.0,1,262.58,رخيص
537,8.0,128.0,1,229.0,رخيص
841,4.0,128.0,1,192.59,رخيص
877,4.0,64.0,1,172.59,رخيص
1644,8.0,64.0,1,159.0,رخيص
783,8.0,256.0,1,401.6,رخيص
1649,2.0,32.0,1,109.0,رخيص
543,8.0,128.0,1,209.0,رخيص
