Smartphone,Brand,Model,RAM,Storage,Final Price
471,10,79,8.0,256.0,231.6
678,11,122,4.0,128.0,279.0
187,6,170,4.0,128.0,179.01
1167,15,235,6.0,128.0,279.99
185,6,169,4.0,64.0,148.52
431,10,32,8.0,128.0,352.59
680,11,122,4.0,128.0,279.0
1202,15,236,8.0,256.0,329.99
349,9,147,6.0,128.0,219.99
457,10,74,4.0,64.0,172.59
470,10,79,8.0,256.0,231.6
1196,15,236,8.0,256.0,382.99
1194,15,236,8.0,256.0,399.91
1172,15,236,4.0,128.0,249.99
1200,15,236,8.0,256.0,249.26
676,11,121,4.0,64.0,179.0
1044,15,224,4.0,64.0,179.99
498,10,185,3.0,32.0,141.6
403,10,3,8.0,256.0,401.6
395,9,258,8.0,256.0,392.6
1135,15,234,4.0,128.0,219.99
467,10,78,6.0,128.0,181.6
180,6,166,2.0,32.0,106.0
399,10,1,8.0,128.0,281.6
688,11,125,8.0,128.0,419.0
398,10,1,8.0,128.0,281.6
468,10,78,6.0,128.0,181.6
405,10,3,12.0,512.0,521.6
400,10,1,8.0,256.0,301.6
393,9,258,8.0,256.0,391.99
401,10,1,8.0,256.0,299.0
348,9,147,6.0,128.0,219.99
1174,15,236,4.0,128.0,168.9
683,11,124,6.0,128.0,299.0
458,10,74,4.0,64.0,172.59
1170,15,236,4.0,128.0,249.99
1039,15,224,4.0,128.0,199.0
404,10,3,12.0,512.0,521.6
421,10,31,4.0,64.0,262.58
190,6,171,8.0,128.0,229.0
460,10,75,4.0,128.0,192.59
496,10,184,4.0,64.0,172.59
1095,15,230,3.0,64.0,159.0
402,10,3,8.0,256.0,401.6
1100,15,231,2.0,32.0,109.0
196,6,173,6.0,128.0,209.0
385,9,257,8.0,256.0,343.99
1195,15,236,8.0,256.0,329.37
206,6,180,8.0,256.0,299.0
648,11,118,8.0,128.0,377.96
1099,15,231,2.0,32.0,109.0
1101,15,231,2.0,32.0,109.0
1102,15,231,2.0,32.0,109.0
1059,15,226,4.0,128.0,123.0
1024,15,223,2.0,32.0,95.59
424,10,31,6.0,128.0,281.6
1173,15,236,4.0,128.0,249.0
1182,15,236,4.0,128.0,279.0
487,10,97,8.0,128.0,552.59
1171,15,236,4.0,128.0,249.0
1201,15,236,8.0,256.0,261.95
188,6,170,4.0,128.0,179.0
1176,15,236,4.0,64.0,229.0
1034,15,223,4.0,128.0,179.0
497,10,184,4.0,64.0,172.59
452,10,73,3.0,32.0,142.59
179,6,165,2.0,64.0,119.0
174,6,83,12.0,256.0,899.0
1028,15,223,3.0,64.0,159.0
454,10,73,3.0,32.0,142.59
1178,15,236,4.0,64.0,229.0
1053,15,226,3.0,64.0,169.0
1162,15,3,8.0,256.0,449.99
1190,15,236,8.0,128.0,399.0
479,10,95,12.0,256.0,702.59
418,10,31,4.0,128.0,282.58
603,11,110,8.0,256.0,469.0
1203,15,236,8.0,256.0,379.95
1206,15,236,8.0,256.0,499.0
1163,15,3,8.0,256.0,449.99
459,10,75,4.0,128.0,192.59
329,9,77,4.0,64.0,169.99
1210,15,191,8.0,256.0,225.0
484,10,97,12.0,256.0,601.6
338,9,90,12.0,256.0,479.99
1161,15,3,8.0,256.0,449.99
687,11,125,8.0,128.0,413.0
689,11,125,8.0,128.0,418.99
273,7,246,8.0,128.0,379.0
599,11,110,8.0,256.0,469.0
347,9,147,6.0,128.0,219.99
1056,15,226,4.0,128.0,123.0
195,6,173,6.0,128.0,209.0
1204,15,236,8.0,256.0,389.95
684,11,124,6.0,128.0,299.0
274,7,246,8.0,128.0,379.0
389,9,258,6.0,128.0,349.99
482,10,96,8.0,128.0,432.59
1055,15,226,3.0,64.0,169.0
794,11,135,8.0,256.0,1159.0
685,11,124,6.0,128.0,299.0
224,7,39,4.0,64.0,179.0
1060,15,226,4.0,128.0,199.0
673,11,121,4.0,64.0,179.0
651,11,118,8.0,128.0,452.61
1061,15,226,4.0,128.0,169.0
362,9,149,4.0,128.0,229.98
417,10,29,4.0,64.0,201.6
937,15,7,8.0,256.0,781.6
1045,15,225,4.0,128.0,144.95
892,14,273,6.0,128.0,220.99
1205,15,236,8.0,256.0,389.9
679,11,122,4.0,128.0,279.0
589,11,109,6.0,128.0,359.0
893,14,273,6.0,128.0,220.99
945,15,9,8.0,128.0,492.59
592,11,110,6.0,128.0,300.0
601,11,110,8.0,256.0,469.0
897,14,275,8.0,256.0,267.99
882,14,262,12.0,256.0,799.0
175,6,84,8.0,256.0,491.64
605,11,110,8.0,256.0,469.0
660,11,118,8.0,256.0,549.0
741,11,130,8.0,256.0,649.0
1040,15,224,4.0,128.0,199.99
659,11,118,8.0,256.0,449.95
1046,15,225,4.0,128.0,144.95
654,11,118,8.0,256.0,549.0
239,7,51,8.0,128.0,299.0
1134,15,234,4.0,128.0,219.99
595,11,110,6.0,128.0,399.0
550,11,102,4.0,64.0,189.0
568,11,106,4.0,128.0,234.95
552,11,102,4.0,64.0,189.0
896,14,275,8.0,256.0,267.99
923,15,6,8.0,256.0,1026.41
387,9,258,6.0,128.0,349.99
656,11,118,8.0,256.0,549.0
901,14,280,8.0,128.0,306.0
902,14,280,8.0,128.0,306.0
353,9,148,4.0,128.0,209.99
325,9,77,3.0,32.0,149.99
494,10,183,4.0,128.0,222.59
935,15,7,8.0,256.0,772.46
242,7,51,8.0,128.0,299.0
